elapsed_s,tag_hex_id,position_x,position_y,yaw_map
69.027,0x14,4.3292,2.4682,161.62
69.324,0x14,4.3004,2.4154,165.06
69.496,0x14,4.4355,1.9199,164.75
69.62,0x14,4.3965,1.889,163.62
69.918,0x14,4.3506,1.8777,161.75
70.22,0x14,4.306,1.8672,160.56
70.515,0x14,4.2624,1.8558,160.25
70.815,0x14,4.1989,1.8551,160.62
71.112,0x14,4.1379,1.8561,160.94
71.347,0x14,4.2801,1.4745,159.56
73.941,0x14,4.2213,1.4868,160.69
74.243,0x14,4.1678,1.4949,162.88
74.551,0x14,4.1288,1.4841,161.12
74.836,0x14,4.1007,1.4625,158.25
75.138,0x14,4.0663,1.4483,157.62
75.433,0x14,4.051,1.4218,158.38
75.545,0x14,4.2078,1.0237,158.5
75.73,0x14,4.1873,0.9967,158.94
76.032,0x14,4.1637,0.971,159.94
76.26,0x14,4.2862,0.4631,166.44
76.331,0x14,4.2576,0.4554,167.75
76.628,0x14,4.2307,0.4572,172.75
76.928,0x14,4.2038,0.469,183.62
77.229,0x14,4.1769,0.4943,193.75
77.524,0x14,4.1491,0.5185,205.81
77.822,0x14,4.1189,0.5354,218.06
78.124,0x14,4.0922,0.5407,232.62
78.423,0x14,4.0706,0.5377,241.62
78.72,0x14,4.0471,0.536,245.69
79.02,0x14,4.0203,0.5366,255.94
79.315,0x14,4.0049,0.5295,256.0
79.549,0x14,3.5281,0.386,253.25
79.617,0x14,3.5243,0.3793,252.75
79.914,0x14,3.5187,0.3763,250.19
80.215,0x14,3.503,0.3793,247.88
80.446,0x14,3.0578,0.2067,248.81
80.514,0x14,3.0633,0.2084,248.56
80.812,0x14,3.0673,0.2114,246.06
81.109,0x14,3.0752,0.2131,246.44
81.408,0x14,3.0837,0.2142,243.5
81.641,0x14,2.7055,0.1,240.19
81.711,0x14,2.7262,0.0031,238.5
82.008,0x14,2.746,0.0064,236.12
82.304,0x14,2.762,0.0081,234.62
82.417,0x14,2.3404,0.1,234.25
82.601,0x14,2.3717,0.1,232.62
82.903,0x14,2.4039,0.1,232.06
83.199,0x14,2.4364,0.1,236.0
83.432,0x14,2.0834,0.1,237.31
84.224,0x14,2.133,0.1,244.88
84.334,0x14,1.7089,0.1,244.75
84.518,0x14,1.7752,0.1,243.94
84.816,0x14,1.838,0.1,245.94
85.117,0x14,1.8961,0.1,243.88
85.415,0x14,1.9496,0.1,243.12
85.716,0x14,2.0003,0.1,245.44
85.946,0x14,1.4623,0.1,251.06
86.013,0x14,1.5418,0.1,252.5
86.314,0x14,1.6147,0.1,255.62
86.612,0x14,1.6851,0.1,261.62
86.908,0x14,1.7644,0.1,273.94
87.207,0x14,1.8404,0.1,302.44
87.502,0x14,1.9081,0.1,335.5
87.676,0x14,1.7835,0.0149,345.94
87.804,0x14,1.8524,0.0463,349.25
88.099,0x14,1.9256,0.0956,355.94
88.994,0x14,1.9959,0.1516,351.81
89.29,0x14,2.0471,0.1872,351.25
89.588,0x14,2.1026,0.2341,350.5
89.888,0x14,2.1289,0.2549,350.56
90.188,0x14,2.1441,0.2796,350.94
90.487,0x14,2.1407,0.2785,351.5
